Date,Product,Category,Region,Quantity,Sales
2026-01-05,Laptop,Electronics,South,5,250000
2026-01-10,Mouse,Accessories,North,20,20000
2026-01-15,Keyboard,Accessories,South,15,22500
2026-02-03,Laptop,Electronics,West,3,150000
2026-02-12,Monitor,Electronics,East,6,90000
2026-02-20,Mouse,Accessories,South,25,25000
2026-03-05,Keyboard,Accessories,North,18,27000
2026-03-14,Laptop,Electronics,East,4,200000
2026-03-25,Monitor,Electronics,South,8,120000
2026-04-02,Mouse,Accessories,West,30,30000
2026-04-11,Laptop,Electronics,North,2,100000
2026-04-19,Keyboard,Accessories,East,12,18000
2026-05-06,Monitor,Electronics,West,5,75000
2026-05-15,Laptop,Electronics,South,6,300000
2026-05-27,Mouse,Accessories,East,22,22000
2026-06-04,Keyboard,Accessories,South,20,30000
2026-06-16,Monitor,Electronics,North,7,105000
2026-06-24,Laptop,Electronics,West,3,150000
2026-07-08,Mouse,Accessories,South,28,28000
2026-07-21,Monitor,Electronics,East,4,60000
